idx,time,x,y,z,angle1,angle2,angle3,target_x,target_y,target_z,target_angle1,target_angle2,target_angle3
14,14:51:56,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:57,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:57,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:58,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:58,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:59,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:00,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:00,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:01,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:01,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:02,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:02,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:03,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:04,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:04,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:05,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:05,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:06,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:06,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:07,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:08,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:08,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:09,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:09,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:10,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:52:10,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
